document_text,document_identifier
"Artículo 10. Daños graves.
Constituyen los daños graves que dan lugar a la protección subsidiaria prevista en el artículo 4 de esta Ley:
a) la condena a pena de muerte o el riesgo de su ejecución material;
b) la tortura y los tratos inhumanos o degradantes en el país de origen del solicitante;
c) las amenazas graves contra la vida o la integridad de los civiles motivadas por una violencia indiscriminada en situaciones de conflicto internacional o interno.",1288135
"Artículo 9. Causas de denegación.
En todo caso, el derecho de asilo se denegará a:
a) las personas que constituyan, por razones fundadas, un peligro para la seguridad de España;
b) las personas que, habiendo sido objeto de una condena firme por delito grave constituyan una amenaza para la comunidad.",1288134
"Artículo 14. Agentes de protección.
1. Podrán proporcionar protección:
a) el Estado, o
b) los partidos u organizaciones, incluidas las organizaciones internacionales, que controlen el Estado o una parte considerable de su territorio.
2. En general, se entenderá que existe protección cuando los agentes mencionados en el apartado primero adopten medidas razonables y efectivas para impedir la persecución o el padecimiento de daños graves, tales como el establecimiento de un sistema jurídico eficaz para la investigación, el procesamiento y la sanción de acciones constitutivas de persecución o de daños graves, y siempre que el solicitante tenga acceso efectivo a dicha protección.
3. Se tendrá en cuenta la orientación que pueda desprenderse de los actos pertinentes de las instituciones de la Unión Europea o de organizaciones internacionales relevantes, al efecto de valorar si una organización internacional controla un Estado o una parte considerable de su territorio y proporciona la protección descrita en el apartado anterior.",1288139
"Artículo 15. Necesidades de protección internacional surgidas «in situ».
1. Los fundados temores de ser perseguido o el riesgo real de sufrir daños graves a que se refieren, respectivamente, los artículos 6 y 10 de esta Ley, pueden asimismo basarse en acontecimientos sucedidos o actividades en que haya participado la persona solicitante con posterioridad al abandono del país de origen o, en el caso de apátridas, el de residencia habitual, en especial si se demuestra que dichos acontecimientos o actividades constituyen la expresión de convicciones u orientaciones mantenidas en el país de origen o de residencia habitual.
2. En estos supuestos, se ponderará, a efectos de no reconocer la condición de refugiado, el hecho de que el riesgo de persecución esté basado en circunstancias expresamente creadas por la persona solicitante tras abandonar su país de origen o, en el caso de apátridas, el de su residencia habitual.",1288140
"Artículo 16. Derecho a solicitar protección internacional.
1. Las personas nacionales no comunitarias y las apátridas presentes en territorio español tienen derecho a solicitar protección internacional en España.
2. Para su ejercicio, los solicitantes de protección internacional tendrán derecho a asistencia sanitaria y a asistencia jurídica gratuita, que se extenderá a la formalización de la solicitud y a toda la tramitación del procedimiento, y que se prestará en los términos previstos en la legislación española en esta materia, así como derecho a intérprete en los términos del artículo 22 de la Ley Orgánica 4/2000.
La asistencia jurídica referida en el párrafo anterior será preceptiva cuando las solicitudes se formalicen de acuerdo al procedimiento señalado en el artículo 21 de la presente Ley.
3. La presentación de la solicitud conllevará la valoración de las circunstancias determinantes del reconocimiento de la condición de refugiado, así como de la concesión de la protección subsidiaria. De este extremo se informará en debida forma al solicitante.
4. Toda información relativa al procedimiento, incluido el hecho de la presentación de la solicitud, tendrá carácter confidencial.",1288141
"Artículo 17. Presentación de la solicitud.
1. El procedimiento se inicia con la presentación de la solicitud, que deberá efectuarse mediante comparecencia personal de los interesados que soliciten protección en los lugares que reglamentariamente se establezcan, o en caso de imposibilidad física o legal, mediante persona que lo represente. En este último caso, el solicitante deberá ratificar la petición una vez desaparezca el impedimento.
2. La comparecencia deberá realizarse sin demora y en todo caso en el plazo máximo de un mes desde la entrada en el territorio español o, en todo caso, desde que se produzcan los acontecimientos que justifiquen el temor fundado de persecución o daños graves. A estos efectos, la entrada ilegal en territorio español no podrá ser sancionada cuando haya sido realizada por persona que reúna los requisitos para ser beneficiaria de la protección internacional prevista en esta Ley.
3. En el momento de efectuar la solicitud, la persona extranjera será informada, en una lengua que pueda comprender, acerca de:
a) el procedimiento que debe seguirse;
b) sus derechos y obligaciones durante la tramitación, en especial en materia de plazos y medios de que dispone para cumplir éstas;
c) la posibilidad de contactar con el Alto Comisionado de las Naciones Unidas para los Refugiados y con las Organizaciones no Gubernamentales legalmente reconocidas entre cuyos objetivos figure el asesoramiento y ayuda a las personas necesitadas de protección internacional;
d) las posibles consecuencias del incumplimiento de sus obligaciones o de su falta de colaboración con las autoridades; y
e) los derechos y prestaciones sociales a los que tiene acceso en su condición de solicitante de protección internacional.
4. La solicitud se formalizará mediante entrevista personal que se realizará siempre individualmente. De forma excepcional, podrá requerirse la presencia de otros miembros de la familia de los solicitantes, si ello se considerase imprescindible para la adecuada formalización de la solicitud.
5. La Administración adoptará las medidas necesarias para que, cuando sea preciso, en la entrevista se preste un tratamiento diferenciado por razón del sexo de la persona solicitante o demás circunstancias previstas en el artículo 46 de esta Ley. De este trámite se dejará debida constancia en el expediente administrativo.
6. Las personas encargadas de efectuar la entrevista informarán a los solicitantes sobre cómo efectuar la solicitud, y les ayudarán a cumplimentarla, facilitándoles la información básica en relación con aquélla. Asimismo, colaborarán con los interesados para establecer los hechos relevantes de su solicitud.
7. Cuando razones de seguridad lo aconsejen, se podrá registrar a la persona solicitante y sus pertenencias, siempre y cuando se garantice el pleno respeto a su dignidad e integridad.
8. En los términos que se establezcan reglamentariamente, se planteará la posibilidad de una nueva audiencia personal sobre su solicitud de asilo. La ponderación sobre la necesidad o no de efectuar nuevas entrevistas será motivada.",1288142
"Artículo 18. Derechos y obligaciones de los solicitantes.
1. El solicitante de asilo, presentada la solicitud, tiene en los términos recogidos en la presente Ley, en los artículos 16, 17, 19, 33 y 34, los siguientes derechos:
a) a ser documentado como solicitante de protección internacional;
b) a asistencia jurídica gratuita e intérprete;
c) a que se comunique su solicitud al ACNUR;
d) a la suspensión de cualquier proceso de devolución, expulsión o extradición que pudiera afectar al solicitante;
e) a conocer el contenido del expediente en cualquier momento;
f) a la atención sanitaria en las condiciones expuestas;
g) a recibir prestaciones sociales específicas en los términos que se recogen en esta Ley.
2. Serán obligaciones de los solicitantes de protección internacional las siguientes:
a) cooperar con las autoridades españolas en el procedimiento para la concesión de protección internacional;
b) presentar, lo antes posible, todos aquellos elementos que, junto a su propia declaración, contribuyan a fundamentar su solicitud. Entre otros, podrán presentar la documentación de que dispongan sobre su edad, pasado –incluido el de parientes relacionados–, identidad, nacionalidad o nacionalidades, lugares de anterior residencia, solicitudes de protección internacional previas, itinerarios de viaje, documentos de viaje y motivos por los que solicita la protección;
c) proporcionar sus impresiones dactilares, permitir ser fotografiados y, en su caso, consentir que sean grabadas sus declaraciones, siempre que hayan sido previamente informados sobre este último extremo;
d) informar sobre su domicilio en España y cualquier cambio que se produzca en él;
e) informar, asimismo, a la autoridad competente o comparecer ante ella, cuando así se les requiera con relación a cualquier circunstancia de su solicitud.",1288143
"Artículo 19. Efectos de la presentación de la solicitud.
1. Solicitada la protección, la persona extranjera no podrá ser objeto de retorno, devolución o expulsión hasta que se resuelva sobre su solicitud o ésta no sea admitida. No obstante, por motivos de salud o seguridad públicas, la autoridad competente podrá adoptar medidas cautelares en aplicación de la normativa vigente en materia de extranjería e inmigración.
2. Asimismo, la solicitud de protección suspenderá, hasta la decisión definitiva, la ejecución del fallo de cualquier proceso de extradición de la persona interesada que se halle pendiente. A tal fin, la solicitud será comunicada inmediatamente al órgano judicial o al órgano gubernativo ante el que en ese momento tuviera lugar el correspondiente proceso.
3. No obstante lo previsto en los apartados anteriores, podrá entregarse o extraditarse a una persona solicitante, según proceda, a otro Estado miembro de la Unión Europea en virtud de las obligaciones dimanantes de una orden europea de detención y entrega, o a un país tercero ante órganos judiciales penales internacionales.
4. Las personas solicitantes de asilo tienen derecho a entrevistarse con un abogado en las dependencias de los puestos fronterizos y centros de internamiento de extranjeros. Reglamentariamente, y sin perjuicio de las normas de funcionamiento establecidas para las citadas dependencias y centros, podrán establecerse condiciones para el ejercicio de este derecho derivadas de razones de seguridad, orden público o de su gestión administrativa.
5. La solicitud de protección dará lugar al inicio del cómputo de los plazos previstos para su tramitación.
6. La resolución que admita a trámite una solicitud de asilo determinará el procedimiento correspondiente.
7. En caso de que la tramitación de una solicitud pudiese exceder de seis meses, ampliables de acuerdo con lo previsto en el artículo 49 de la Ley 30/1992, de 26 de noviembre, de Régimen Jurídico de las Administraciones Públicas y del Procedimiento Administrativo Común, para su resolución y notificación, se informará a la persona interesada del motivo de la demora.",1288144
"Artículo 7. Motivos de persecución.
1. Al valorar los motivos de persecución se tendrán en cuenta los siguientes elementos:
a) el concepto de raza comprenderá, en particular, el color, el origen o la pertenencia a un determinado grupo étnico;
b) el concepto de religión comprenderá, en particular, la profesión de creencias teístas, no teístas y ateas, la participación o la abstención de hacerlo, en cultos formales en privado o en público, ya sea individualmente o en comunidad, así como otros actos o expresiones que comporten una opinión de carácter religioso, o formas de conducta personal o comunitaria basadas en cualquier creencia religiosa u ordenadas por ésta;
c) el concepto de nacionalidad no se limitará a poseer o no la ciudadanía, sino que comprenderá, en particular, la pertenencia a un grupo determinado por su identidad cultural, étnica o lingüística, sus orígenes geográficos o políticos comunes o su relación con la población de otro Estado;
d) el concepto de opiniones políticas comprenderá, en particular, la profesión de opiniones, ideas o creencias sobre un asunto relacionado con los agentes potenciales de persecución y con sus políticas o métodos, independientemente de que el solicitante haya o no obrado de acuerdo con tales opiniones, ideas o creencias;
e) se considerará que un grupo constituye un grupo social determinado, si, en particular:
- las personas integrantes de dicho grupo comparten una característica innata o unos antecedentes comunes que no pueden cambiarse, o bien comparten una característica o creencia que resulta tan fundamental para su identidad o conciencia que no se les puede exigir que renuncien a ella, y
- dicho grupo posee una identidad diferenciada en el país de que se trate por ser percibido como diferente por la sociedad que lo rodea o por el agente o agentes perseguidores.
En función de las circunstancias imperantes en el país de origen, se incluye en el concepto de grupo social determinado un grupo basado en una característica común de orientación sexual o identidad sexual, y, o, edad, sin que estos aspectos por sí solos puedan dar lugar a la aplicación del presente artículo. En ningún caso podrá entenderse como orientación sexual, la realización de conductas tipificadas como delito en el ordenamiento jurídico español.
Asimismo, en función de las circunstancias imperantes en el país de origen, se incluye a las personas que huyen de sus países de origen debido a fundados temores de sufrir persecución por motivos de género y, o, edad, sin que estos aspectos por sí solos puedan dar lugar a la aplicación del presente artículo.
2. En la valoración acerca de si la persona solicitante tiene fundados temores a ser perseguida será indiferente el hecho de que posea realmente la característica racial, religiosa, nacional, social o política que suscita la persecución, a condición de que el agente de persecución se la atribuya.",1288152
"Artículo 1. Objeto de la ley.
La presente Ley, de acuerdo con lo previsto en el apartado cuatro del artículo 13 de la Constitución, tiene por objeto establecer los términos en que las personas nacionales de países no comunitarios y las apátridas podrán gozar en España de la protección internacional constituida por el derecho de asilo y la protección subsidiaria, así como el contenido de dicha protección internacional.",1288146
"Artículo 2. El derecho de asilo.
El derecho de asilo es la protección dispensada a los nacionales no comunitarios o a los apátridas a quienes se reconozca la condición de refugiado en los términos definidos en el artículo 3 de esta Ley y en la Convención sobre el Estatuto de los Refugiados, hecha en Ginebra el 28 de julio de 1951, y su Protocolo, suscrito en Nueva York el 31 de enero de 1967.",1288147
"Artículo 3. La condición de refugiado.
La condición de refugiado se reconoce a toda persona que, debido a fundados temores de ser perseguida por motivos de raza, religión, nacionalidad, opiniones políticas, pertenencia a determinado grupo social, de género u orientación sexual, se encuentra fuera del país de su nacionalidad y no puede o, a causa de dichos temores, no quiere acogerse a la protección de tal país, o al apátrida que, careciendo de nacionalidad y hallándose fuera del país donde antes tuviera su residencia habitual, por los mismos motivos no puede o, a causa de dichos temores, no quiere regresar a él, y no esté incurso en alguna de las causas de exclusión del artículo 8 o de las causas de denegación o revocación del artículo 9.",1288148
"Artículo 4. La protección subsidiaria.
El derecho a la protección subsidiaria es el dispensado a las personas de otros países y a los apátridas que, sin reunir los requisitos para obtener el asilo o ser reconocidas como refugiadas, pero respecto de las cuales se den motivos fundados para creer que si regresasen a su país de origen en el caso de los nacionales o, al de su anterior residencia habitual en el caso de los apátridas, se enfrentarían a un riesgo real de sufrir alguno de los daños graves previstos en el artículo 10 de esta Ley, y que no pueden o, a causa de dicho riesgo, no quieren, acogerse a la protección del país de que se trate, siempre que no concurra alguno de los supuestos mencionados en los artículos 11 y 12 de esta Ley.",1288149
"Artículo 5. Derechos garantizados con el asilo y la protección subsidiaria.
La protección concedida con el derecho de asilo y la protección subsidiaria consiste en la no devolución ni expulsión de las personas a quienes se les haya reconocido, así como en la adopción de las medidas contempladas en el artículo 36 de esta Ley y en las normas que lo desarrollen, en la normativa de la Unión Europea y en los Convenios internacionales ratificados por España.",1288150
"Artículo 6. Actos de persecución.
1. Los actos en que se basen los fundados temores a ser objeto de persecución en el sentido previsto en el artículo 3 de esta Ley, deberán:
a) ser suficientemente graves por su naturaleza o carácter reiterado como para constituir una violación grave de los derechos fundamentales, en particular los derechos que no puedan ser objeto de excepciones al amparo del apartado segundo del artículo 15 del Convenio Europeo para la Protección de los Derechos Humanos y de las Libertades Fundamentales, o bien
b) ser una acumulación lo suficientemente grave de varias medidas, incluidas las violaciones de derechos humanos, como para afectar a una persona de manera similar a la mencionada en la letra a).
2. Los actos de persecución definidos en el apartado primero podrán revestir, entre otras, las siguientes formas:
a) actos de violencia física o psíquica, incluidos los actos de violencia sexual;
b) medidas legislativas, administrativas, policiales o judiciales que sean discriminatorias en sí mismas o que se apliquen de manera discriminatoria;
c) procesamientos o penas que sean desproporcionados o discriminatorios;
d) denegación de tutela judicial de la que se deriven penas desproporcionadas o discriminatorias;
e) procesamientos o penas por la negativa a prestar servicio militar en un conflicto en el que el cumplimiento de dicho servicio conllevaría delitos o actos comprendidos en las cláusulas de exclusión establecidas en el apartado segundo del artículo 8 de esta Ley;
f) actos de naturaleza sexual que afecten a adultos o a niños.
3. Los actos de persecución definidos en el presente artículo deberán estar relacionados con los motivos mencionados en el artículo siguiente.",1288151
"Artículo 11. Causas de exclusión.
1. Quedarán excluidas de la condición de beneficiarias de la protección subsidiaria aquellas personas respecto de las que existan fundados motivos para considerar que:
a) han cometido un delito contra la paz, un delito de guerra o un delito contra la humanidad, de los definidos en los instrumentos internacionales que establecen disposiciones relativas a tales delitos;
b) han cometido fuera del país de protección antes de ser admitidas como beneficiarias de la protección subsidiaria, es decir, antes de la expedición de la autorización de residencia basada en el reconocimiento de la condición de beneficiario de protección subsidiaria, un delito grave, entendiéndose por tal los que lo sean conforme al Código Penal español y que afecten a la vida, la libertad, la indemnidad o la libertad sexual, la integridad de las personas o el patrimonio, siempre que fuesen realizados con fuerza en las cosas, o violencia o intimidación en las personas, así como en los casos de la delincuencia organizada, debiendo entenderse incluida, en todo caso, en el término delincuencia organizada la recogida en el apartado cuarto del artículo 282 bis de la Ley de Enjuiciamiento Criminal, en relación con los delitos enumerados;
c) son culpables de actos contrarios a las finalidades y a los principios de las Naciones Unidas establecidos en el Preámbulo y en los artículos 1 y 2 de la Carta de las Naciones Unidas;
d) constituyen un peligro para la seguridad interior o exterior de España o para el orden público.
2. Lo dispuesto en los apartados anteriores se aplicará a quienes inciten a la comisión de los delitos o actos mencionados en los mismos, o bien participen en su comisión.",1288136
"Artículo 12. Causas de denegación.
En todo caso, la protección subsidiaria se denegará a:
a) las personas que constituyan, por razones fundadas, un peligro para la seguridad de España;
b) las personas que, habiendo sido objeto de una condena firme por delito grave constituyan una amenaza para la comunidad.",1288137
"Artículo 13. Agentes de persecución o causantes de daños graves.
Los agentes de persecución o causantes de daños graves podrán ser, entre otros:
a) el Estado;
b) los partidos u organizaciones que controlen el Estado o una parte considerable de su territorio;
c) agentes no estatales, cuando los agentes mencionados en los puntos anteriores, incluidas las organizaciones internacionales, no puedan o no quieran proporcionar protección efectiva contra la persecución o los daños graves.",1288138
"Artículo 20. No admisión de solicitudes presentadas dentro del territorio español.
1. El Ministro del Interior, a propuesta de la Oficina de Asilo y Refugio, podrá, mediante resolución motivada, no admitir a trámite las solicitudes cuando concurra alguna de las circunstancias siguientes:
– Por falta de competencia para el examen de las solicitudes:
a) cuando no corresponda a España su examen con arreglo al Reglamento (CE) 343/2003, del Consejo, de 18 de febrero, por el que se establecen los criterios y mecanismos de determinación del Estado miembro responsable del examen de una solicitud de asilo presentada en uno de los Estados miembros por un nacional de un tercer país;
b) cuando no corresponda a España su examen de conformidad con los Convenios Internacionales en que sea Parte. En la resolución por la que se acuerde la no admisión a trámite se indicará a la persona solicitante el Estado responsable de examinarla. En este caso, dicho Estado habrá aceptado explícitamente su responsabilidad y se obtendrán garantías suficientes de protección para la vida, libertad e integridad física de los interesados, así como del respeto a los demás principios indicados en la Convención de Ginebra, en el territorio de dicho Estado.
– Por falta de requisitos:
c) cuando, de conformidad con lo establecido en el artículo 25.2.b) y en el artículo 26 de la Directiva 2005/85/CE del Consejo, la persona solicitante se halle reconocida como refugiada y tenga derecho a residir o a obtener protección internacional efectiva en un tercer Estado, siempre que sea readmitida en ese país, no exista peligro para su vida o su libertad, ni esté expuesta a tortura o a trato inhumano o degradante y tenga protección efectiva contra la devolución al país perseguidor, con arreglo a la Convención de Ginebra;
d) cuando la persona solicitante proceda de un tercer país seguro, de conformidad con lo establecido en el artículo 27 de la Directiva 2005/85/CE del Consejo y, en su caso con la lista que sea elaborada por la Unión Europea, donde, atendiendo a sus circunstancias particulares, reciba un trato en el que su vida, su integridad y su libertad no estén amenazadas por razón de raza, religión, nacionalidad, pertenencia a grupo social u opinión política, se respete el principio de no devolución, así como la prohibición de expulsión en caso de violación del derecho a no ser sometido a torturas ni a tratos crueles, inhumanos o degradantes, exista la posibilidad de solicitar el estatuto de refugiado y, en caso de ser refugiado, a recibir protección con arreglo a la Convención de Ginebra; siempre que el solicitante sea readmitido en ese país y existan vínculos por los cuales sería razonable que el solicitante fuera a ese país. Para la aplicación del concepto de tercer país seguro, también podrá requerirse la existencia de una relación entre el solicitante de asilo y el tercer país de que se trate por la que sería razonable que el solicitante fuera a ese país;
e) cuando la persona solicitante hubiese reiterado una solicitud ya denegada en España o presentado una nueva solicitud con otros datos personales, siempre que no se planteen nuevas circunstancias relevantes en cuanto a las condiciones particulares o a la situación del país de origen o de residencia habitual de la persona interesada;
f) cuando la persona solicitante sea nacional de un Estado miembro de la Unión Europea, de conformidad con lo dispuesto en el Protocolo al Tratado Constitutivo de la Comunidad Europea sobre el derecho de asilo a nacionales de Estados miembros de la Unión Europea.
2. La no admisión a trámite prevista en este artículo deberá notificarse en el plazo máximo de un mes contado a partir de la presentación de la solicitud. El transcurso de dicho plazo sin que se haya notificado la resolución a la persona interesada determinará la admisión a trámite de la solicitud y su permanencia provisional en territorio español, sin perjuicio de lo que pueda acordarse en la resolución definitiva del procedimiento. La no admisión a trámite conllevará los mismos efectos que la denegación de la solicitud.
3. La constatación, con posterioridad a la admisión a trámite de la solicitud de protección internacional, de alguna de las circunstancias que hubiesen justificado su no admisión será causa de denegación de aquélla.",1288145
"Artículo 8. Causas de exclusión.
1. Quedarán excluidas de la condición de refugiados:
a) las personas que estén comprendidas en el ámbito de aplicación de la sección D del artículo 1 de la Convención de Ginebra en lo relativo a la protección o asistencia de un órgano u organismo de las Naciones Unidas distinto del Alto Comisionado de las Naciones Unidas para los Refugiados. Cuando esta protección o asistencia haya cesado por cualquier motivo, sin que la suerte de tales personas se haya solucionado definitivamente con arreglo a las Resoluciones aprobadas sobre el particular por la Asamblea General de las Naciones Unidas, aquéllas tendrán, «ipso facto», derecho a los beneficios del asilo regulado en la presente Ley;
b) las personas a quienes las autoridades competentes del país donde hayan fijado su residencia les hayan reconocido los derechos y obligaciones que son inherentes a la posesión de la nacionalidad de tal país, o derechos y obligaciones equivalentes a ellos.
2. También quedarán excluidas las personas extranjeras sobre las que existan motivos fundados para considerar que:
a) han cometido un delito contra la paz, un delito de guerra o un delito contra la humanidad, de los definidos en los instrumentos internacionales que establecen disposiciones relativas a tales delitos;
b) han cometido fuera del país de refugio antes de ser admitidas como refugiadas, es decir, antes de la expedición de una autorización de residencia basada en el reconocimiento de la condición de refugiado, un delito grave, entendiéndose por tal los que lo sean conforme al Código Penal español y que afecten a la vida, la libertad, la indemnidad o la libertad sexual, la integridad de las personas o el patrimonio, siempre que fuesen realizados con fuerza en las cosas, o violencia o intimidación en las personas, así como en los casos de la delincuencia organizada, debiendo entenderse incluida, en todo caso, en el término delincuencia organizada la recogida en el apartado cuarto del artículo 282 bis de la Ley de Enjuiciamiento Criminal, en relación con los delitos enumerados;
c) son culpables de actos contrarios a las finalidades y a los principios de las Naciones Unidas establecidos en el Preámbulo y en los artículos 1 y 2 de la Carta de las Naciones Unidas.
3. El apartado segundo se aplicará a las personas que inciten a la comisión de los delitos o actos mencionados en él, o bien participen en su comisión.",1288153
