answer_id,document_id,question_id,text,answer_start,answer_end,answer_category,question,file_name,context
642380,1173232,583288,quince días,226,237,,¿Cuantos dias tiene cuando esta denegada?,,"La estancia en los centros tendrá una duración de seis meses, salvo que con anterioridad al transcurso de este período sea resuelto el expediente administrativo. En caso de resolución denegatoria, el beneficiario dispondrá de quince días para abandonar el centro.

Excepcionalmente, y por razones de necesidad, previo informe del equipo técnico la Dirección del centro podrá proponer a la Dirección General de Inclusión y Atención Humanitaria la autorización, por una sola vez, de una prórroga de estancia hasta la notificación de la res"
642381,1173232,583289,quince días,226,237,,¿periodo disponible cuando esta denegada en el centro?,,"La estancia en los centros tendrá una duración de seis meses, salvo que con anterioridad al transcurso de este período sea resuelto el expediente administrativo. En caso de resolución denegatoria, el beneficiario dispondrá de quince días para abandonar el centro.

Excepcionalmente, y por razones de necesidad, previo informe del equipo técnico la Dirección del centro podrá proponer a la Dirección General de Inclusión y Atención Humanitaria la autorización, por una sola vez, de una prórroga de estancia hasta la notificación de la res"
642382,1173232,583290,"Su duración dependerá de las características individuales de cada caso, tras la propuesta de la dirección del centro de forma motivada.",570,705,,¿De que depende la prórroga de estancia?,,"cionalmente, y por razones de necesidad, previo informe del equipo técnico la Dirección del centro podrá proponer a la Dirección General de Inclusión y Atención Humanitaria la autorización, por una sola vez, de una prórroga de estancia hasta la notificación de la resolución del expediente de asilo. Su duración dependerá de las características individuales de cada caso, tras la propuesta de la dirección del centro de forma motivada."
642383,1173234,583291,desde el momento del ingreso del beneficiario en el centro y en función de su situación personal,70,166,,¿En que momento se puede pedir las ayudas?,,"Las ayudas para gastos personales y de transporte se podrán solicitar desde el momento del ingreso del beneficiario en el centro y en función de su situación personal.
Los demás gastos se podrán solicitar a lo largo de la estancia del beneficiario en el centro, cuando se produzca la circunstancia que dé lugar al mismo."
642384,1173235,583292,en el plazo máximo de seis meses,212,244,,¿Periodo de resolución?,,"Plazo de resolución de la autorización para la acción concertada. Conforme al artículo 44 del Real Decreto 220/2022, de 29 de marzo, la resolución de autorización se dictará y notificará a la entidad solicitante en el plazo máximo de seis meses, contados desde la fecha de presentación de la solicitud de dé inicio al procedimiento.
"
642385,1173235,583293,máximo de seis meses,224,244,,¿Tiempo de resolución?,,"Plazo de resolución de la autorización para la acción concertada. Conforme al artículo 44 del Real Decreto 220/2022, de 29 de marzo, la resolución de autorización se dictará y notificará a la entidad solicitante en el plazo máximo de seis meses, contados desde la fecha de presentación de la solicitud de dé inicio al procedimiento.
"
642386,1173235,583294,"artículo 44 del Real Decreto 220/2022, de 29 de marzo",78,131,,¿Cuales el decreto de la resoluón?,,"Plazo de resolución de la autorización para la acción concertada. Conforme al artículo 44 del Real Decreto 220/2022, de 29 de marzo, la resolución de autorización se dictará y notificará a la entidad solicitante en el plazo máximo de seis meses, contados desde la fecha de presentación de la solicitud de dé inicio al procedimiento.
"
642387,1173235,583295,seis meses,234,244,,¿Tiempo para la norificación de la resolución?,,"Plazo de resolución de la autorización para la acción concertada. Conforme al artículo 44 del Real Decreto 220/2022, de 29 de marzo, la resolución de autorización se dictará y notificará a la entidad solicitante en el plazo máximo de seis meses, contados desde la fecha de presentación de la solicitud de dé inicio al procedimiento.
"
642388,1173236,583296, RD 865-2006 Normas reguladoras ayudas CM,52,93,,¿La normativa para ayuda economica?,,"Ayudas económicas a los beneficiarios de los CAR:    RD 865-2006 Normas reguladoras ayudas CM.
2015 Resolución ayudas Centros.
2017 Resolución ayudas Centros . Las cuantías máximas establecidas para cada tipo de ayuda serán las mismas y en los mismos términos que las establecidas en la Resolución de 2015."
642389,1173236,583297,serán las mismas y en los mismos términos que las establecidas en la Resolución de 2015,218,305,,¿Las cuantias de ayudas?,,"Ayudas económicas a los beneficiarios de los CAR:    RD 865-2006 Normas reguladoras ayudas CM.
2015 Resolución ayudas Centros.
2017 Resolución ayudas Centros . Las cuantías máximas establecidas para cada tipo de ayuda serán las mismas y en los mismos términos que las establecidas en la Resolución de 2015."
642390,1173237,583298,la SEDE de Acción Concertada de Protección Internacional.,320,377,,¿Donde se presenta la solicitud?,,"autorización de acción concertada se iniciará mediante la presentación de la correspondiente solicitud por la entidad interesada, de conformidad con lo establecido en el artículo 14.2 de la Ley 39/2015, de 1 de octubre, dirigida al órgano de concertación.

Las solicitudes se presentarán a través de la SEDE de Acción Concertada de Protección Internacional."
642355,1173227,583263,para la acogida y la integración ,38,71,,¿Para que sirven las subvenciones?,,"Las subvenciones concedidas a las ONG para la acogida y la integración de quienes conforman estos colectivos están financiadas con fondos que provienen de los presupuestos de la Secretaría General de Inmigración y Emigración, recibiendo cofinanciación, en algunos programas, del Fondo Social Europeo y del Fondo de Asilo, Migración e Integración."
642356,1173227,583264,a las ONG,28,37,,¿Para quienes son las subvenciones?,,"Las subvenciones concedidas a las ONG para la acogida y la integración de quienes conforman estos colectivos están financiadas con fondos que provienen de los presupuestos de la Secretaría General de Inmigración y Emigración, recibiendo cofinanciación, en algunos programas, del Fondo Social Europeo y del Fondo de Asilo, Migración e Int"
642357,1173227,583265, ONG,33,37,,¿Quien puede recibir las subenciones?,,"Las subvenciones concedidas a las ONG para la acogida y la integración de quienes conforman estos colectivos están financiadas con fondos que provienen de los presupuestos de la Secretaría General de Inmigración y Emigración, recibiendo cofinanciación, en algunos programas, del Fondo Social Europeo y del Fondo de Asilo, Migración e Int"
642359,1173228,583267,El Alto Comisionado de las Naciones Unidas para los Refugiados ,0,63,,¿Que significa ACNUR?,,"El Alto Comisionado de las Naciones Unidas para los Refugiados (ACNUR), organismo de las Naciones Unidas encargado de proteger a los refugiados y desplazados por persecuciones o conflictos, debe intervenir, de acuerdo con la legislación en vigor, en el procedimiento de concesión del derecho de asilo. En base a esta colaboración, el ACNUR recibe una subvención d"
642360,1173228,583268,proteger a los refugiados y desplazados por persecuciones o conflictos,118,188,,¿A que se encarga ACNUR?,,"El Alto Comisionado de las Naciones Unidas para los Refugiados (ACNUR), organismo de las Naciones Unidas encargado de proteger a los refugiados y desplazados por persecuciones o conflictos, debe intervenir, de acuerdo con la legislación en vigor, en el procedimiento de concesión del derecho de asilo. En base a esta colaboración, el ACNUR recibe una subvención de la Dirección General de Migraciones."
642354,1173227,583262,"de la Secretaría General de Inmigración y Emigración, recibiendo cofinanciación, en algunos programas, del Fondo Social Europeo y del Fondo de Asilo, Migración e Integración.",172,346,,¿Donde provienen las subvenciones?,,"Las subvenciones concedidas a las ONG para la acogida y la integración de quienes conforman estos colectivos están financiadas con fondos que provienen de los presupuestos de la Secretaría General de Inmigración y Emigración, recibiendo cofinanciación, en algunos programas, del Fondo Social Europeo y del Fondo de Asilo, Migración e Integración."
642361,1173228,583269,proteger a los refugiados y desplazados por persecuciones o conflictos,118,188,,¿Que hace ACNUR?,,"El Alto Comisionado de las Naciones Unidas para los Refugiados (ACNUR), organismo de las Naciones Unidas encargado de proteger a los refugiados y desplazados por persecuciones o conflictos, debe intervenir, de acuerdo con la legislación en vigor, en el procedimiento de concesión del derecho de asilo. En base a esta colaboración, el ACNUR recibe una subvención de la Dirección General de Migraciones."
642362,1173228,583270,Dirección General de Migraciones,368,400,,¿De donde recibe las subvenciones ACNUR?,,"R), organismo de las Naciones Unidas encargado de proteger a los refugiados y desplazados por persecuciones o conflictos, debe intervenir, de acuerdo con la legislación en vigor, en el procedimiento de concesión del derecho de asilo. En base a esta colaboración, el ACNUR recibe una subvención de la Dirección General de Migraciones."
642363,1173229,583271,Centro de Acogida a Refugiados,0,30,,¿Que significa C.A.R?,,"Centro de Acogida a Refugiados (C.A.R.). Son establecimientos públicos destinados a prestar alojamiento, manutención y asistencia psicosocial urgente y primaria, así como otros servicios sociales encaminados a facilitar la convivencia e integrar en la comunidad a las personas que solicitan asilo en España u obtengan la condición"
642364,1173229,583272,Centro de Acogida a Refugiados,0,30,,¿Que significa CAR?,,"Centro de Acogida a Refugiados (C.A.R.). Son establecimientos públicos destinados a prestar alojamiento, manutención y asistencia psicosocial urgente y primaria, así como otros servicios sociales encaminados a facilitar la convivencia e integrar en la comunidad a las personas que solicitan asilo en España u obtengan la condición"
642365,1173229,583273," Son establecimientos públicos destinados a prestar alojamiento, manutención y asistencia psicosocial urgente y primaria",40,160,,¿Que es C.A.R?,,"Centro de Acogida a Refugiados (C.A.R.). Son establecimientos públicos destinados a prestar alojamiento, manutención y asistencia psicosocial urgente y primaria, así como otros servicios sociales encaminados a facilitar la convivencia e integrar en la comunidad a las personas que solicitan asilo en España u obtengan la condición de refugiado o desplazado en España y que carezcan de medios económicos para atender a sus necesidades y a las de su familia."
642366,1173229,583274,"Son establecimientos públicos destinados a prestar alojamiento, manutención y asistencia psicosocial urgente y primaria",41,160,,¿Que es CAR?,,"Centro de Acogida a Refugiados (C.A.R.). Son establecimientos públicos destinados a prestar alojamiento, manutención y asistencia psicosocial urgente y primaria, así como otros servicios sociales encaminados a facilitar la convivencia e integrar en la comunidad a las personas que solicitan asilo en España u obtengan la condición de refugiado o desplazado en España y que carezcan de medios económicos para atender a sus necesidades y a las de su familia."
642367,1173229,583275,España,360,366,,¿Donde pueden pedir asilo?,,"s públicos destinados a prestar alojamiento, manutención y asistencia psicosocial urgente y primaria, así como otros servicios sociales encaminados a facilitar la convivencia e integrar en la comunidad a las personas que solicitan asilo en España u obtengan la condición de refugiado o desplazado en España y que carezcan de medios económicos para atender a sus necesidades y a las de su familia."
642368,1173229,583276,España ,300,307,,¿Donde pueden ir los refugiados?,,"Centro de Acogida a Refugiados (C.A.R.). Son establecimientos públicos destinados a prestar alojamiento, manutención y asistencia psicosocial urgente y primaria, así como otros servicios sociales encaminados a facilitar la convivencia e integrar en la comunidad a las personas que solicitan asilo en España u obtengan la condición de refugiado o desplazado en España y que carezcan de medios económicos para atender a sus necesidades y a las de su familia."
642369,1173230,583277,"Alojamiento y manutención temporal.
Información y asesoramiento sobre nueva situación.
Orientación para su incorporación al sistema educativo, sanitario y social.
Atención psicológica.
Atención social especializada y gestión de ayudas económicas complementarias.
Desarrollo de cursos para aprendizaje de la lengua y de habilidades sociales básicas.
Orientación e intermediación para la formación profesional e inserción laboral.
Actividades ocupacionales y de ocio y tiempo libre.
Actividades de sensibilización y de divulgación de la actuación del C.A.R. dirigidas a la sociedad de acogida.",0,591,,¿Que servicios y prestaciones tienen CAR?,,"Alojamiento y manutención temporal.
Información y asesoramiento sobre nueva situación.
Orientación para su incorporación al sistema educativo, sanitario y social.
Atención psicológica.
Atención social especializada y gestión de ayudas económicas complementarias.
Desarrollo de cursos para aprendizaje de la lengua y de habilidades sociales básicas.
Orientación e intermediación para la formación profesional e inserción laboral.
Actividades ocupacionales y de ocio y tiempo libre.
Actividades de sensibilización y de divulgación de la actuación del C.A.R. dirigidas a la sociedad de acogida."
