document_text;document_identifier;order
"1. Quedarán excluidas de la condición de beneficiarias de la protección subsidiaria aquellas personas respecto de las que existan fundados motivos para considerar que:
a) han cometido un delito contra la paz, un delito de guerra o un delito contra la humanidad, de los definidos en los instrumentos internacionales que establecen disposiciones relativas a tales delitos;
b) han cometido fuera del país de protección antes de ser admitidas como beneficiarias de la protección subsidiaria, es decir, antes de la expedición de la autorización de residencia basada en el reconocimiento de la condición de beneficiario de protección subsidiaria, un delito grave, entendiéndose por tal los que lo sean conforme al Código Penal español y que afecten a la vida, la libertad, la indemnidad o la libertad sexual, la integridad de las personas o el patrimonio, siempre que fuesen realizados con fuerza en las cosas, o violencia o intimidación en las personas, así como en los casos de la delincuencia organizada, debiendo entenderse incluida, en todo caso, en el término delincuencia organizada la recogida en el apartado cuarto del artículo 282 bis de la Ley de Enjuiciamiento Criminal, en relación con los delitos enumerados;
c) son culpables de actos contrarios a las finalidades y a los principios de las Naciones Unidas establecidos en el Preámbulo y en los artículos 1 y 2 de la Carta de las Naciones Unidas;
d) constituyen un peligro para la seguridad interior o exterior de España o para el orden público.
2. Lo dispuesto en los apartados anteriores se aplicará a quienes inciten a la comisión de los delitos o actos mencionados en los mismos, o bien participen en su comisión.";BOE2009_Art11;11
"En todo caso, la protección subsidiaria se denegará a:
a) las personas que constituyan, por razones fundadas, un peligro para la seguridad de España;
b) las personas que, habiendo sido objeto de una condena firme por delito grave constituyan una amenaza para la comunidad.";BOE2009_Art12;12
"Los agentes de persecución o causantes de daños graves podrán ser, entre otros:
a) el Estado;
b) los partidos u organizaciones que controlen el Estado o una parte considerable de su territorio;
c) agentes no estatales, cuando los agentes mencionados en los puntos anteriores, incluidas las organizaciones internacionales, no puedan o no quieran proporcionar protección efectiva contra la persecución o los daños graves.";BOE2009_Art13;13
"1. Podrán proporcionar protección:
a) el Estado, o
b) los partidos u organizaciones, incluidas las organizaciones internacionales, que controlen el Estado o una parte considerable de su territorio.
2. En general, se entenderá que existe protección cuando los agentes mencionados en el apartado primero adopten medidas razonables y efectivas para impedir la persecución o el padecimiento de daños graves, tales como el establecimiento de un sistema jurídico eficaz para la investigación, el procesamiento y la sanción de acciones constitutivas de persecución o de daños graves, y siempre que el solicitante tenga acceso efectivo a dicha protección.
3. Se tendrá en cuenta la orientación que pueda desprenderse de los actos pertinentes de las instituciones de la Unión Europea o de organizaciones internacionales relevantes, al efecto de valorar si una organización internacional controla un Estado o una parte considerable de su territorio y proporciona la protección descrita en el apartado anterior.
";BOE2009_Art14;14
"Artículo 15. Necesidades de protección internacional surgidas «in situ».
1. Los fundados temores de ser perseguido o el riesgo real de sufrir daños graves a que se refieren, respectivamente, los artículos 6 y 10 de esta Ley, pueden asimismo basarse en acontecimientos sucedidos o actividades en que haya participado la persona solicitante con posterioridad al abandono del país de origen o, en el caso de apátridas, el de residencia habitual, en especial si se demuestra que dichos acontecimientos o actividades constituyen la expresión de convicciones u orientaciones mantenidas en el país de origen o de residencia habitual.
2. En estos supuestos, se ponderará, a efectos de no reconocer la condición de refugiado, el hecho de que el riesgo de persecución esté basado en circunstancias expresamente creadas por la persona solicitante tras abandonar su país de origen o, en el caso de apátridas, el de su residencia habitual.";BOE2009_Art15;15
"1. Las personas nacionales no comunitarias y las apátridas presentes en territorio español tienen derecho a solicitar protección internacional en España.
2. Para su ejercicio, los solicitantes de protección internacional tendrán derecho a asistencia sanitaria y a asistencia jurídica gratuita, que se extenderá a la formalización de la solicitud y a toda la tramitación del procedimiento, y que se prestará en los términos previstos en la legislación española en esta materia, así como derecho a intérprete en los términos del artículo 22 de la Ley Orgánica 4/2000.
La asistencia jurídica referida en el párrafo anterior será preceptiva cuando las solicitudes se formalicen de acuerdo al procedimiento señalado en el artículo 21 de la presente Ley.
3. La presentación de la solicitud conllevará la valoración de las circunstancias determinantes del reconocimiento de la condición de refugiado, así como de la concesión de la protección subsidiaria. De este extremo se informará en debida forma al solicitante.
4. Toda información relativa al procedimiento, incluido el hecho de la presentación de la solicitud, tendrá carácter confidencial.";BOE2009_Art16;16
"1. El procedimiento se inicia con la presentación de la solicitud, que deberá efectuarse mediante comparecencia personal de los interesados que soliciten protección en los lugares que reglamentariamente se establezcan, o en caso de imposibilidad física o legal, mediante persona que lo represente. En este último caso, el solicitante deberá ratificar la petición una vez desaparezca el impedimento.
2. La comparecencia deberá realizarse sin demora y en todo caso en el plazo máximo de un mes desde la entrada en el territorio español o, en todo caso, desde que se produzcan los acontecimientos que justifiquen el temor fundado de persecución o daños graves. A estos efectos, la entrada ilegal en territorio español no podrá ser sancionada cuando haya sido realizada por persona que reúna los requisitos para ser beneficiaria de la protección internacional prevista en esta Ley.
3. En el momento de efectuar la solicitud, la persona extranjera será informada, en una lengua que pueda comprender, acerca de:
a) el procedimiento que debe seguirse;
b) sus derechos y obligaciones durante la tramitación, en especial en materia de plazos y medios de que dispone para cumplir éstas;
c) la posibilidad de contactar con el Alto Comisionado de las Naciones Unidas para los Refugiados y con las Organizaciones no Gubernamentales legalmente reconocidas entre cuyos objetivos figure el asesoramiento y ayuda a las personas necesitadas de protección internacional;
d) las posibles consecuencias del incumplimiento de sus obligaciones o de su falta de colaboración con las autoridades; y
e) los derechos y prestaciones sociales a los que tiene acceso en su condición de solicitante de protección internacional.
4. La solicitud se formalizará mediante entrevista personal que se realizará siempre individualmente. De forma excepcional, podrá requerirse la presencia de otros miembros de la familia de los solicitantes, si ello se considerase imprescindible para la adecuada formalización de la solicitud.
5. La Administración adoptará las medidas necesarias para que, cuando sea preciso, en la entrevista se preste un tratamiento diferenciado por razón del sexo de la persona solicitante o demás circunstancias previstas en el artículo 46 de esta Ley. De este trámite se dejará debida constancia en el expediente administrativo.
6. Las personas encargadas de efectuar la entrevista informarán a los solicitantes sobre cómo efectuar la solicitud, y les ayudarán a cumplimentarla, facilitándoles la información básica en relación con aquélla. Asimismo, colaborarán con los interesados para establecer los hechos relevantes de su solicitud.
7. Cuando razones de seguridad lo aconsejen, se podrá registrar a la persona solicitante y sus pertenencias, siempre y cuando se garantice el pleno respeto a su dignidad e integridad.
8. En los términos que se establezcan reglamentariamente, se planteará la posibilidad de una nueva audiencia personal sobre su solicitud de asilo. La ponderación sobre la necesidad o no de efectuar nuevas entrevistas será motivada.";BOE2009_Art17;17
"1. El solicitante de asilo, presentada la solicitud, tiene en los términos recogidos en la presente Ley, en los artículos 16, 17, 19, 33 y 34, los siguientes derechos:
a) a ser documentado como solicitante de protección internacional;
b) a asistencia jurídica gratuita e intérprete;
c) a que se comunique su solicitud al ACNUR;
d) a la suspensión de cualquier proceso de devolución, expulsión o extradición que pudiera afectar al solicitante;
e) a conocer el contenido del expediente en cualquier momento;
f) a la atención sanitaria en las condiciones expuestas;
g) a recibir prestaciones sociales específicas en los términos que se recogen en esta Ley.
2. Serán obligaciones de los solicitantes de protección internacional las siguientes:
a) cooperar con las autoridades españolas en el procedimiento para la concesión de protección internacional;
b) presentar, lo antes posible, todos aquellos elementos que, junto a su propia declaración, contribuyan a fundamentar su solicitud. Entre otros, podrán presentar la documentación de que dispongan sobre su edad, pasado –incluido el de parientes relacionados–, identidad, nacionalidad o nacionalidades, lugares de anterior residencia, solicitudes de protección internacional previas, itinerarios de viaje, documentos de viaje y motivos por los que solicita la protección;
c) proporcionar sus impresiones dactilares, permitir ser fotografiados y, en su caso, consentir que sean grabadas sus declaraciones, siempre que hayan sido previamente informados sobre este último extremo;
d) informar sobre su domicilio en España y cualquier cambio que se produzca en él;
e) informar, asimismo, a la autoridad competente o comparecer ante ella, cuando así se les requiera con relación a cualquier circunstancia de su solicitud.";BOE2009_Art18;18
"1. Solicitada la protección, la persona extranjera no podrá ser objeto de retorno, devolución o expulsión hasta que se resuelva sobre su solicitud o ésta no sea admitida. No obstante, por motivos de salud o seguridad públicas, la autoridad competente podrá adoptar medidas cautelares en aplicación de la normativa vigente en materia de extranjería e inmigración.
2. Asimismo, la solicitud de protección suspenderá, hasta la decisión definitiva, la ejecución del fallo de cualquier proceso de extradición de la persona interesada que se halle pendiente. A tal fin, la solicitud será comunicada inmediatamente al órgano judicial o al órgano gubernativo ante el que en ese momento tuviera lugar el correspondiente proceso.
3. No obstante lo previsto en los apartados anteriores, podrá entregarse o extraditarse a una persona solicitante, según proceda, a otro Estado miembro de la Unión Europea en virtud de las obligaciones dimanantes de una orden europea de detención y entrega, o a un país tercero ante órganos judiciales penales internacionales.
4. Las personas solicitantes de asilo tienen derecho a entrevistarse con un abogado en las dependencias de los puestos fronterizos y centros de internamiento de extranjeros. Reglamentariamente, y sin perjuicio de las normas de funcionamiento establecidas para las citadas dependencias y centros, podrán establecerse condiciones para el ejercicio de este derecho derivadas de razones de seguridad, orden público o de su gestión administrativa.
5. La solicitud de protección dará lugar al inicio del cómputo de los plazos previstos para su tramitación.
6. La resolución que admita a trámite una solicitud de asilo determinará el procedimiento correspondiente.
7. En caso de que la tramitación de una solicitud pudiese exceder de seis meses, ampliables de acuerdo con lo previsto en el artículo 49 de la Ley 30/1992, de 26 de noviembre, de Régimen Jurídico de las Administraciones Públicas y del Procedimiento Administrativo Común, para su resolución y notificación, se informará a la persona interesada del motivo de la demora.";BOE2009_Art19;19
"1. El Ministro del Interior, a propuesta de la Oficina de Asilo y Refugio, podrá, mediante resolución motivada, no admitir a trámite las solicitudes cuando concurra alguna de las circunstancias siguientes:
– Por falta de competencia para el examen de las solicitudes:
a) cuando no corresponda a España su examen con arreglo al Reglamento (CE) 343/2003, del Consejo, de 18 de febrero, por el que se establecen los criterios y mecanismos de determinación del Estado miembro responsable del examen de una solicitud de asilo presentada en uno de los Estados miembros por un nacional de un tercer país;
b) cuando no corresponda a España su examen de conformidad con los Convenios Internacionales en que sea Parte. En la resolución por la que se acuerde la no admisión a trámite se indicará a la persona solicitante el Estado responsable de examinarla. En este caso, dicho Estado habrá aceptado explícitamente su responsabilidad y se obtendrán garantías suficientes de protección para la vida, libertad e integridad física de los interesados, así como del respeto a los demás principios indicados en la Convención de Ginebra, en el territorio de dicho Estado.
– Por falta de requisitos:
c) cuando, de conformidad con lo establecido en el artículo 25.2.b) y en el artículo 26 de la Directiva 2005/85/CE del Consejo, la persona solicitante se halle reconocida como refugiada y tenga derecho a residir o a obtener protección internacional efectiva en un tercer Estado, siempre que sea readmitida en ese país, no exista peligro para su vida o su libertad, ni esté expuesta a tortura o a trato inhumano o degradante y tenga protección efectiva contra la devolución al país perseguidor, con arreglo a la Convención de Ginebra;
d) cuando la persona solicitante proceda de un tercer país seguro, de conformidad con lo establecido en el artículo 27 de la Directiva 2005/85/CE del Consejo y, en su caso con la lista que sea elaborada por la Unión Europea, donde, atendiendo a sus circunstancias particulares, reciba un trato en el que su vida, su integridad y su libertad no estén amenazadas por razón de raza, religión, nacionalidad, pertenencia a grupo social u opinión política, se respete el principio de no devolución, así como la prohibición de expulsión en caso de violación del derecho a no ser sometido a torturas ni a tratos crueles, inhumanos o degradantes, exista la posibilidad de solicitar el estatuto de refugiado y, en caso de ser refugiado, a recibir protección con arreglo a la Convención de Ginebra; siempre que el solicitante sea readmitido en ese país y existan vínculos por los cuales sería razonable que el solicitante fuera a ese país. Para la aplicación del concepto de tercer país seguro, también podrá requerirse la existencia de una relación entre el solicitante de asilo y el tercer país de que se trate por la que sería razonable que el solicitante fuera a ese país;
e) cuando la persona solicitante hubiese reiterado una solicitud ya denegada en España o presentado una nueva solicitud con otros datos personales, siempre que no se planteen nuevas circunstancias relevantes en cuanto a las condiciones particulares o a la situación del país de origen o de residencia habitual de la persona interesada;
f) cuando la persona solicitante sea nacional de un Estado miembro de la Unión Europea, de conformidad con lo dispuesto en el Protocolo al Tratado Constitutivo de la Comunidad Europea sobre el derecho de asilo a nacionales de Estados miembros de la Unión Europea.
2. La no admisión a trámite prevista en este artículo deberá notificarse en el plazo máximo de un mes contado a partir de la presentación de la solicitud. El transcurso de dicho plazo sin que se haya notificado la resolución a la persona interesada determinará la admisión a trámite de la solicitud y su permanencia provisional en territorio español, sin perjuicio de lo que pueda acordarse en la resolución definitiva del procedimiento. La no admisión a trámite conllevará los mismos efectos que la denegación de la solicitud.
3. La constatación, con posterioridad a la admisión a trámite de la solicitud de protección internacional, de alguna de las circunstancias que hubiesen justificado su no admisión será causa de denegación de aquélla.";BOE2009_Art20;20
"1. Cuando una persona extranjera que no reúna los requisitos necesarios para entrar en territorio español presente una solicitud de protección internacional en un puesto fronterizo, el Ministro del Interior podrá no admitir a trámite la solicitud mediante resolución motivada cuando en dicha solicitud concurra alguno de los supuestos previstos en el apartado primero del artículo 20. En todo caso, la resolución deberá ser notificada a la persona interesada en el plazo máximo de cuatro días desde su presentación.
2. Asimismo, el Ministro del Interior podrá denegar la solicitud mediante resolución motivada, que deberá notificarse a la persona interesada en el plazo máximo de cuatro días desde su presentación, cuando en dicha solicitud concurra alguno de los siguientes supuestos:
a) los previstos en las letras c), d) y f) del apartado primero del artículo 25;
b) cuando la persona solicitante hubiese formulado alegaciones incoherentes, contradictorias, inverosímiles, insuficientes, o que contradigan información suficientemente contrastada sobre su país de origen, o de residencia habitual si fuere apátrida, de manera que pongan claramente de manifiesto que su solicitud es infundada por lo que respecta al hecho de albergar un fundado temor a ser perseguida o a sufrir un daño grave.
3. El plazo previsto en el apartado anterior se ampliará hasta un máximo de diez días por resolución del Ministro del Interior, en los casos en los que, por concurrir alguna de las circunstancias previstas en la letra f) del apartado primero del artículo 25, el ACNUR, de manera razonada, así lo solicite.
4. Contra la resolución de inadmisión a trámite o de denegación de la solicitud se podrá, en el plazo de dos días contados desde su notificación, presentar una petición de reexamen que suspenderá los efectos de aquélla. La resolución de dicha petición, que corresponderá al Ministro del Interior, deberá notificarse a la persona interesada en el plazo de dos días desde el momento en que aquélla hubiese sido presentada.
5. El transcurso del plazo fijado para acordar la inadmisión a trámite, o la denegación de la solicitud en frontera, la petición de reexamen, o del previsto para resolver el recurso de reposición sin que se haya notificado la resolución de forma expresa, determinará su tramitación por el procedimiento ordinario, así como la autorización de entrada y permanencia provisional de la persona solicitante, sin perjuicio de lo que pueda acordarse en la resolución definitiva del expediente.";BOE2009_Art21;21
En todo caso, durante la tramitación de la petición de reexamen y del recurso de reposición previstos en los apartados cuarto y quinto del artículo 21 de la presente Ley, así como en los supuestos en los que se solicite la adopción de las medidas a las que se refiere el apartado segundo de su artículo 29, la persona solicitante de asilo permanecerá en las dependencias habilitadas a tal efecto.;BOE2009_Art22;22
"1. La Oficina de Asilo y Refugio, dependiente del Ministerio del Interior, es el órgano competente para la tramitación de las solicitudes de protección internacional, sin perjuicio de las demás funciones que reglamentariamente se le atribuyan.
2. La Comisión Interministerial de Asilo y Refugio es un órgano colegiado adscrito al Ministerio del Interior, que está compuesto por un representante de cada uno de los departamentos con competencia en política exterior e interior, justicia, inmigración, acogida de los solicitantes de asilo e igualdad.
3. Serán funciones de la Comisión las previstas en esta Ley y aquellas otras que, junto con su régimen de funcionamiento, se establezcan reglamentariamente.";BOE2009_Art23;23
"1. Toda solicitud de protección internacional admitida a trámite dará lugar al inicio, por parte del Ministerio del Interior, del correspondiente procedimiento, al que se incorporarán las diligencias de instrucción del expediente. Si fuera procedente la realización de nuevas entrevistas a las personas solicitantes, aquéllas deberán reunir los requisitos previstos en el artículo 17.
2. Finalizada la instrucción de los expedientes, se elevarán a estudio de la Comisión Interministerial de Asilo y Refugio, que formulará propuesta al Ministro del Interior, quien será el competente para dictar la correspondiente resolución por la que se conceda o deniegue, según proceda, el derecho de asilo o la protección subsidiaria.
3. Transcurridos seis meses desde la presentación de la solicitud sin que se haya notificado la correspondiente resolución, la misma podrá entenderse desestimada, sin perjuicio de la obligación de la Administración de resolver expresamente y de lo dispuesto en el apartado séptimo del artículo 19 de la presente Ley.";BOE2009_Art24;24
"1. El Ministerio del Interior, de oficio o a petición del interesado, acordará la aplicación de la tramitación de urgencia, previa notificación al interesado, en las solicitudes en las que concurra alguna de las siguientes circunstancias:
a) que parezcan manifiestamente fundadas;
b) que hayan sido formuladas por solicitantes que presenten necesidades específicas, especialmente, por menores no acompañados;
c) que planteen exclusivamente cuestiones que no guarden relación con el examen de los requisitos para el reconocimiento de la condición de refugiado o la concesión de la protección subsidiaria;
d) que la persona solicitante proceda de un país de origen considerado seguro, en los términos de lo dispuesto en el artículo 20.1.d), y del que posea la nacionalidad, o si fuere apátrida, en el que tuviera su residencia habitual;
e) que la persona solicitante, sin motivo justificado, presente su solicitud transcurrido el plazo de un mes previsto en el apartado segundo del artículo 17;
f) que la persona solicitante incurra en alguno de los supuestos de exclusión o de denegación previstos en los artículos 8, 9, 11 y 12 de la presente Ley.
2. Cuando la solicitud de protección internacional se hubiera presentado en un Centro de Internamiento para Extranjeros, su tramitación deberá adecuarse a lo dispuesto en el artículo 21 de esta Ley para las solicitudes en frontera. En todo caso, presentadas las solicitudes en estos términos, aquéllas que fuesen admitidas a trámite se ajustarán a la tramitación de urgencia prevista en el presente artículo.
3. La Comisión Interministerial de Asilo y Refugio será informada de los expedientes que vayan a ser tramitados con carácter de urgencia.
4. Será de aplicación al presente procedimiento lo dispuesto en el artículo 24 de la Ley, salvo en materia de plazos que se verán reducidos a la mitad.";BOE2009_Art25;25
"1. La Administración General del Estado velará por que la información necesaria para la evaluación de las solicitudes de protección no se obtenga de los responsables de la persecución o de los daños graves, de modo tal que dé lugar a que dichos responsables sean informados de que la persona interesada es solicitante de protección internacional cuya solicitud está siendo considerada, ni se ponga en peligro la integridad de la persona interesada y de las personas a su cargo, ni la libertad y la seguridad de sus familiares que aún vivan en el país de origen.
2. Para que se resuelva favorablemente la solicitud bastará que aparezcan indicios suficientes de persecución o de daños graves.";BOE2009_Art26;26
Se pondrá fin al procedimiento mediante el archivo de la solicitud cuando la persona solicitante la retire o desista de ella, en los casos y en los términos de la Ley 30/1992, de 26 de noviembre, reguladora del Régimen Jurídico de las Administraciones Públicas y del Procedimiento Administrativo Común. En todo caso, se podrá presumir que dicha retirada o desistimiento se ha producido cuando en el plazo de treinta días el solicitante no hubiese respondido a las peticiones de facilitar información esencial para su solicitud, no se hubiese presentado a una audiencia personal a la que hubiera sido convocado, o no compareciera para la renovación de la documentación de la que se le hubiera provisto, salvo que demuestre que estos comportamientos fueron debidos a circunstancias ajenas a su voluntad.;BOE2009_Art27;27
A efectos de comunicaciones y notificaciones, se tendrá en cuenta el último domicilio o residencia que conste en el expediente. Cuando no prospere este procedimiento de notificación, el trámite se realizará a través del Portal del Ciudadano, del portal electrónico de la Oficina de Asilo y Refugio y de los tablones de anuncios, accesibles al público, de la Comisaría de Policía correspondiente o de la Oficina de Extranjeros de la provincia en que conste el último lugar de residencia de la persona solicitante y, en todo caso, de la Oficina de Asilo y Refugio. De estos extremos se informará a los solicitantes al formalizar su solicitud, que podrán exigir que se cumpla la garantía del apartado 4 del artículo 16.;BOE2009_Art28;28
"1. Las resoluciones previstas en la presente Ley pondrán fin a la vía administrativa, salvo en el caso de que se haya presentado la petición de reexamen prevista en el apartado cuarto del artículo 21, en que se entenderá que pone fin a la vía administrativa la resolución que decida dicha petición, y serán susceptibles de recurso de reposición con carácter potestativo y de recurso ante la jurisdicción contencioso-administrativa.
2. Cuando se interponga un recurso contencioso-administrativo y se solicite la suspensión del acto recurrido, dicha solicitud tendrá la consideración de especial urgencia contemplada en el artículo 135 de la Ley 29/1998, de 13 de julio, Reguladora de la Jurisdicción Contencioso-Administrativa.
3. La persona a quien le haya sido denegada la solicitud podrá solicitar su revisión cuando aparezcan nuevos elementos probatorios, conforme a lo establecido en la Ley 30/1992, de 26 de noviembre, de Régimen Jurídico de las Administraciones Públicas y del Procedimiento Administrativo Común.";BOE2009_Art29;29
